label,mode,shock_nodes,mean_rl_base,mean_rl_damp,mean_delta_rl,median_delta_rl,max_delta_rl,top_country_delta,top_country_delta_value,country_delta_mean
max_V,single_node,1,5.711231742314321e-05,5.71123174231445e-05,-1.3023870959394006e-18,0.0,4.003787231166047e-16,MYS,9.101514602035266e-18,-1.2815742985397902e-18
max_d,single_node,1,0.0011685357695448621,0.0004827050649404168,0.0006858307046044454,1.4036946297368936e-06,0.30558179769183647,DNK,0.022482972229557266,0.0007016247582002659
max_phi,single_node,1,0.00020707127953533474,0.000100955316150131,0.00010611596338520371,6.973832332754321e-06,0.01820310474953245,DEU,0.0027403809549473132,0.00010793809877477617
RUS_C19,single_node,1,0.0006562433760730318,0.0005312072988255036,0.00012503607724752833,4.4959869124160505e-07,0.08190058069780215,RUS,0.005026987344180667,0.00012578437424417966
USA_C19,single_node,1,0.0009665861387474199,0.0008409353093066553,0.0001256508294407645,7.736208581823244e-07,0.07637726253837951,USA,0.002798564605606634,0.00012545747559802978
