country,n_nodes,within_weight,incoming_weight,outgoing_weight,external_weight,external_share,mean_rl,max_rl,scenario,metric,absorption_gain
RUS,48,21.52643837550592,53.24193847994604,25.05783368507074,35.24689541400494,0.6208354003780023,0.530230275210142,0.88964425966346,Energy: RUS petroleum refining,baseline,
BLR,49,13.635748814350798,16.184229520306186,23.8689645428988,12.781696434503388,0.4838354471486138,0.3473798259188396,0.5899103962237588,Energy: RUS petroleum refining,baseline,
UKR,49,21.466417516664414,24.226309552677968,28.46753880708375,9.761013326432888,0.31257817447350206,0.2505926572467564,0.5483482638292517,Energy: RUS petroleum refining,baseline,
CYP,48,14.965832854772508,15.562411435494537,25.77987999122516,11.410625717174682,0.432606435244135,0.1612969847187407,0.31065559490414957,Energy: RUS petroleum refining,baseline,
LTU,49,13.575110626545996,16.659574971288855,23.81434528993507,13.323699008131932,0.4953267147909411,0.14576582001716423,0.5520338210491268,Energy: RUS petroleum refining,baseline,
KAZ,49,17.804322174372658,20.280842575902334,21.243380660139575,5.91557888729659,0.24939306753079227,0.12623819161775338,0.4890323720588796,Energy: RUS petroleum refining,baseline,
EST,48,16.920539640531047,18.53866259095961,28.084568336022876,12.782151645920393,0.43033648104981087,0.11994205666047564,0.42888500396012097,Energy: RUS petroleum refining,baseline,
LVA,48,16.775635068719584,18.359954027768474,25.869373975633472,10.678057865962778,0.3889479601657941,0.11665510229559976,0.372361773603714,Energy: RUS petroleum refining,baseline,
FIN,48,19.64607779536437,24.701273823780962,27.256581330043993,12.665699563096211,0.39198399464645356,0.0852335762340975,0.26203692860696665,Energy: RUS petroleum refining,baseline,
POL,49,20.229126509428866,31.55173563051005,28.03001350700891,19.123496118661222,0.48595226547901743,0.08401224462576101,0.18190011870131234,Energy: RUS petroleum refining,baseline,
BGR,49,17.929433442825434,19.640390432709562,28.15571193296303,11.937235480021727,0.3996841934685953,0.07834056950258303,0.2664033047210406,Energy: RUS petroleum refining,baseline,
CZE,49,19.257647866642905,24.352907023103164,28.34155821512242,14.179169504939772,0.4240585862992565,0.07722052071918338,0.17637119286188513,Energy: RUS petroleum refining,baseline,
SVK,49,17.464093829862875,20.51566489501136,27.818868686063364,13.406345921348972,0.43427777606642914,0.07423372771634386,0.1740563769272613,Energy: RUS petroleum refining,baseline,
SVN,48,16.624066399162945,18.41323263055313,27.116806621240976,12.281906453468217,0.42489164838298316,0.07238877659513356,0.2268237624617835,Energy: RUS petroleum refining,baseline,
HUN,49,14.613090903500986,18.660870115156047,26.524165542388356,15.958853850542432,0.5220097700337408,0.06960035969063355,0.17501417317147763,Energy: RUS petroleum refining,baseline,
NLD,47,17.35782004641359,31.54313709149323,27.21156908412792,24.039066082793973,0.5806974468505547,0.06292781892922274,0.37201754795880193,Energy: RUS petroleum refining,baseline,
ROU,49,19.633955251897763,22.53900404207865,25.962470814245105,9.233564352528226,0.3198599837830379,0.06247951641681642,0.13142741281972323,Energy: RUS petroleum refining,baseline,
ISR,47,19.513981394288123,22.083820836864398,25.51412079407854,8.569978842366694,0.3051556393809898,0.06071445952541177,0.5077248583947361,Energy: RUS petroleum refining,baseline,
DEU,48,19.870955047770295,68.71962543049086,26.536764567684962,55.51447990263523,0.7364085640569299,0.05770216283723495,0.3231740628589444,Energy: RUS petroleum refining,baseline,
ITA,49,21.80215767254645,42.34762746803114,27.228388287051775,25.97170040999002,0.5436383296722662,0.05578884133275823,0.18465617508361631,Energy: RUS petroleum refining,baseline,
IRL,49,12.451624402658949,19.744571707273032,26.049311531725774,20.890634433680905,0.6265512644545883,0.05548457622909935,0.1762029290057495,Energy: RUS petroleum refining,baseline,
HRV,49,17.25820865451051,18.258790869668786,26.746021625390732,10.488395186038495,0.37800644887251783,0.05531354010946244,0.0885449892172758,Energy: RUS petroleum refining,baseline,
AUT,49,18.0077188447167,26.0458355908356,26.614533282971728,16.64493118437393,0.4803364582622293,0.05403708362229589,0.3621542773199001,Energy: RUS petroleum refining,baseline,
FRA,49,20.922517485717943,44.75986084147722,28.04104444538647,30.95587031542781,0.5967006999925341,0.05345622270528682,0.14876597907921613,Energy: RUS petroleum refining,baseline,
